time,rpm,tps,water,a/f
05:01.3,6165,6,92,19.57375
05:01.4,5857,7,92,20.7975
05:01.5,5508,7,92,20.891
05:01.6,5155,7,92,19.65625
05:01.7,4745,12,92,19.494
05:01.8,4709,12,92,20.97075
05:01.9,4728,12,92,19.373
05:02.0,4542,12,92,16.52675
05:02.1,4575,12,92,15.787
05:02.2,4414,12,92,14.39
05:02.3,4402,12,92,15.27825
05:02.4,4349,12,92,14.269
05:02.5,4372,12,92,14.016
05:02.6,4244,12,92,15.2645
05:02.7,4222,13,92,14.00225
05:02.8,4273,13,92,15.10225
05:02.9,4286,13,92,14.06825
05:03.0,4306,14,92,15.43775
05:03.1,4300,14,92,14.1755
05:03.2,4363,16,92,15.07475
05:03.3,4564,18,92,15.25075
05:03.4,4639,18,92,13.54575
05:03.5,4867,18,92,13.82625
05:03.6,4978,18,92,13.653
05:03.7,5125,26,92,12.322
05:03.8,5162,26,92,14.12325
05:03.9,5406,26,92,13.1965
05:04.0,5447,26,92,12.55025
05:04.1,5610,34,92,14.4175
05:04.2,5853,39,92,13.42475
05:04.3,6083,39,92,14.5
05:04.4,6311,39,92,13.224
05:04.5,6452,39,92,13.0095
05:04.6,6597,39,92,14.57975
05:04.7,6722,22,92,14.09575
05:04.8,6732,13,92,13.4385
05:04.9,6503,13,92,14.753
05:05.0,6569,18,92,14.9565
05:05.1,6602,21,92,14.28275
05:05.2,6524,21,92,15.171
05:05.3,6317,21,92,16.2435
05:05.4,6214,22,92,15.61375
05:05.5,6390,30,92,17.02175
05:05.6,6487,30,92,17.13175
05:05.7,6535,30,92,14.808
05:05.8,6476,31,92,16.10875
05:05.9,6679,32,92,15.908
05:06.0,6691,34,92,14.5385
05:06.1,7290,49,92,13.9885
05:06.2,7722,44,92,15.10225
05:06.3,7575,15,92,15.67975
05:06.4,7203,13,92,19.84325
05:06.5,7329,13,92,20.87725
05:06.6,7819,28,92,17.38475
05:06.7,7355,24,92,13.3835
05:06.8,7256,24,92,15.00875
05:06.9,6677,13,92,18.68825
05:07.0,6416,13,92,20.8085
05:07.1,5685,20,92,17.5745
05:07.2,5316,32,92,17.426
05:07.3,5064,33,92,15.77325
05:07.4,5139,33,92,13.3835
05:07.5,5448,31,92,12.67125
05:07.6,5495,19,92,13.18275
05:07.7,5163,13,92,14.3515
05:07.8,5405,13,92,14.8355
05:07.9,4807,11,92,19.45275
05:08.0,4357,12,92,20.29975
05:08.1,4106,12,92,16.0565
05:08.2,4061,12,92,14.43125
05:08.3,4005,12,92,13.8125
05:08.4,4125,33,92,11.893
05:08.5,4678,54,92,13.29
05:08.6,5082,66,92,13.23775
05:08.7,5354,73,92,10.84525
05:08.8,5433,73,92,11.8545
